c_personid,Rank,Lindex,friend,enemy,c_index_year,c_birthyear,c_deathyear,c_death_age,c_fl_earliest_year,c_fl_latest_year,choronym,Lu,entrytype,Longitude,Latitude
47541,7,1140,33.11025194,0,1140,1085,1140,56,0,0,0,L12907,E12907,116.338944,26.328182
47544,8,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,119.54493,26.490908
47560,8.5,1145,33.11025194,0,1145,0,0,0,0,0,0,L13867,E13867,119.990395,26.883463
47650,6,1145,0,0,1145,0,0,0,0,0,0,L13952,E13952,113.918579,22.545151
47718,4,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
47770,5.5,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,118.68367,25.36455727
47775,6.5,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,119.381439,25.727917
47787,7.5,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
47824,6,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
47829,9,1142,33.11025194,0,1142,0,0,0,0,0,0,L13867,E13867,118.68367,25.36455727
47923,1,1142,101.264075,0,1142,0,0,0,0,0,0,L13867,E13867,119.011101,25.433954
47926,7.5,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,119.381439,25.727917
47943,7.5,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,118.536255,27.924686
47978,8.5,1145,0,0,1145,0,0,0,0,0,0,L12433,E12433,120.854645,32.010471
48050,7.5,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
48185,3,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
48192,2.5,1145,0,0,1145,0,0,0,0,0,0,L12907,E12907,116.351341,27.984781
48241,7.5,1142,0,49.79019038,1142,0,0,0,0,0,0,L12753,E12753,120.653221,28.018291
48353,6,1142,33.11025194,0,1142,0,0,0,0,0,0,L13952,E13952,113.402077,24.172937
48440,9,1148,0,0,1148,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
48444,8.5,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
48482,8.5,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,119.2296143,26.09373856
48585,8.5,1142,0,95.53781885,1142,0,0,0,0,0,0,L13867,E13867,119.011101,25.433954
48597,8.5,1148,0,0,1148,0,0,0,0,0,0,L12214,E12214,112.100998,38.642059
48686,6.5,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,118.536255,27.924686
48719,8.5,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
48859,4,1140,89.80866902,0,1140,0,0,0,0,0,0,L12669,E12669,119.952301,31.78278351
49222,5.5,1145,0,0,1145,0,0,0,0,0,0,L12753,E12753,118.867645,28.956821
49299,8,1142,0,0,1142,0,0,0,0,0,0,L12214,E12214,112.100998,38.642059
49816,6,1148,0,0,1148,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
49831,9.5,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
49899,9.5,1146,0,0,1146,0,0,0,0,0,0,L12824,E12824,118.7425,30.946941
49915,5.5,1142,88.5929974,0,1142,1089,1142,54,0,0,0,0,0,0,0
49919,4,1149,0,0,1149,0,1149,0,0,0,0,0,0,0,0
50262,4,1141,0,0,1141,0,0,0,0,0,0,0,0,0,0
50607,4,1145,98.34141236,0,1145,0,0,0,0,0,0,0,0,0,0
50608,4,1145,98.34141236,0,1145,0,0,0,0,0,0,0,0,0,0
50610,4.5,1145,98.34141236,0,1145,0,0,0,0,0,0,0,0,0,0
50611,4,1145,98.34141236,0,1145,0,0,0,0,0,0,0,0,0,0
50614,6,1145,98.34141236,0,1145,0,0,0,0,0,0,0,0,0,0
51324,7,1145,0,9.270180402,1145,0,0,0,0,0,0,L13867,E13867,116.3495407,25.83338165
51393,8.5,1145,0,0,1145,0,0,0,0,0,0,L13867,E13867,119.381439,25.727917
51820,7.5,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
52181,5.5,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,118.934105,25.867622
52202,3,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,118.934105,25.867622
52229,8.5,1148,33.11025194,0,1148,0,0,0,0,0,0,L12907,E12907,114.971275,27.103239
52416,8.5,1142,0,0,1142,0,0,0,0,0,0,L13867,E13867,119.321577,26.073954
95565,5,1142,0,0,0,0,0,0,1113,1114,0,0,0,0,0
95578,8,1143,0,0,0,0,0,0,1114,1116,0,0,0,0,0
95628,7,1148,0,0,0,0,0,0,1119,1124,0,0,0,0,0
95677,8,1147,0,0,0,0,0,0,1118,1120,0,0,0,0,0
95710,4,1147,0,0,0,0,0,0,1118,1123,0,0,0,0,0
95711,3,1148,0,0,0,0,0,0,1119,1122,0,0,0,0,0
95728,6,1143,0,0,0,0,0,0,1114,1116,0,0,0,0,0
95756,5,1145,0,0,0,0,0,0,1116,1121,0,0,0,0,0
95769,7.5,1143,0,0,0,0,0,0,1114,1115,0,0,0,0,0
95775,5.5,1145,0,0,0,0,0,0,1116,1118,0,0,0,0,0
95905,6.5,1141,0,0,0,0,0,0,1112,1114,0,0,0,0,0
95927,5.5,1145,0,0,0,0,0,0,1116,1131,0,0,0,0,0
95930,5.5,1147,0,0,0,0,0,0,1118,1120,0,0,0,0,0
96083,7.5,1140,0,0,0,0,0,0,1111,1113,0,0,0,0,0
96105,4,1143,0,0,0,0,0,0,1114,1115,0,0,0,0,0
96122,7.5,1140,0,0,0,0,0,0,1111,1114,0,0,0,0,0
96142,7,1147,0,0,0,0,0,0,1118,1122,0,0,0,0,0
96150,7.5,1145,0,0,0,0,0,0,1116,1118,0,0,0,0,0
96216,6,1144,0,0,0,0,0,0,1115,1118,0,0,0,0,0
96231,7.5,1142,0,0,0,0,0,0,1113,1116,0,0,0,0,0
96246,4,1146,0,0,0,0,0,0,1117,1121,0,0,0,0,0
96253,5,1145,0,0,0,0,0,0,1116,1127,0,0,0,0,0
96259,7,1143,0,0,0,0,0,0,1114,1115,0,0,0,0,0
96279,5.5,1146,0,0,0,0,0,0,1117,1127,0,0,0,0,0
96331,7.5,1141,0,0,0,0,0,0,1112,1114,0,0,0,0,0
96411,4.5,1143,0,0,0,0,0,0,1114,1116,0,0,0,0,0
96539,3,1149,0,0,0,0,0,0,1120,1206,0,0,0,0,0
96637,6,1144,0,0,0,0,0,0,1115,1117,0,0,0,0,0
96684,5,1148,0,0,0,0,0,0,1119,1124,0,0,0,0,0
96705,7.5,1147,0,0,0,0,0,0,1118,1118,0,0,0,0,0
96748,5,1149,0,0,0,0,0,0,1120,1122,0,0,0,0,0
96752,4.5,1146,0,0,0,0,0,0,1117,1118,0,0,0,0,0
96785,7.5,1141,0,0,0,0,0,0,1112,1113,0,0,0,0,0
96837,5.5,1142,0,0,0,0,0,0,1113,1115,0,0,0,0,0
96852,4.5,1145,0,0,0,0,0,0,1116,1119,0,0,0,0,0
96881,6.5,1148,0,0,0,0,0,0,1119,1122,0,0,0,0,0
97034,8.5,1140,0,0,0,0,0,0,1111,1114,0,0,0,0,0
97261,8,1146,0,0,0,0,0,0,1117,1119,0,0,0,0,0
97285,7.5,1146,0,0,0,0,0,0,1117,1120,0,0,0,0,0
97360,6,1142,0,0,0,0,0,0,1113,1114,0,0,0,0,0
97388,7.5,1145,0,0,0,0,0,0,1116,1117,0,0,0,0,0
97404,5.5,1147,0,0,0,0,0,0,1118,1120,0,0,0,0,0
97515,7,1141,0,0,0,0,0,0,1112,1114,0,0,0,0,0
97573,7,1141,0,0,0,0,0,0,1112,1114,0,0,0,0,0
97623,7.5,1142,0,0,0,0,0,0,1113,1114,0,0,0,0,0
97651,7,1146,0,0,0,0,0,0,1117,1119,0,0,0,0,0
97661,4.5,1143,0,0,0,0,0,0,1114,1240,0,0,0,0,0
97678,8,1143,0,0,0,0,0,0,1114,1117,0,0,0,0,0
97722,4.5,1140,0,0,0,0,0,0,1111,1119,0,0,0,0,0
97732,5.5,1143,0,0,0,0,0,0,1114,1135,0,0,0,0,0
97973,5.5,1144,0,0,0,0,0,0,1115,1120,0,0,0,0,0
